study_hours,sleep_hours,attendance_percentage,assignments_completed,screen_time,coding_interest,logical_reasoning,creativity_score,communication_skill,stress_level,performance_score,career,Data Science,Backend Development,Cybersecurity,UI/UX Design,Web Development,Cloud Computing,Mobile Development,Game Development,DevOps Engineering,Software Testing,recommended_career
6,9,64,1,6,3,4,5,9,1,53.963183013962336,DevOps Engineering,42.7476623004371,21.90082644628099,46.51772516601406,54.80225988700565,41.37931034482759,42.774168884128144,41.71428571428571,37.36263736263737,28.28571428571428,45.0,UI/UX Design
3,7,53,3,2,3,6,4,5,3,40.92134720607645,DevOps Engineering,35.171904859425354,21.07438016528926,32.65493534973362,29.378531073446325,21.839080459770116,26.89991193433802,20.57142857142857,26.37362637362638,17.71428571428571,43.74999999999999,Software Testing
1,6,81,4,6,1,3,8,9,1,41.59531516195255,UI/UX Design,24.773309743232076,30.16528925619833,48.173154189907265,67.79661016949152,43.67816091954023,49.33447559766718,42.285714285714285,42.85714285714286,54.85714285714286,45.625,UI/UX Design
4,5,72,6,7,9,9,2,8,10,38.77259049337749,Data Science,51.18248006556123,69.00826446280992,42.62427075055188,44.632768361581924,55.74712643678163,42.08794841116858,58.2857142857143,51.648351648351664,49.14285714285713,72.50000000000001,Software Testing
9,6,55,1,11,6,8,8,6,3,57.63801481206712,Cybersecurity,60.96154555816437,35.9504132231405,46.94214768054537,71.75141242937853,70.11494252873564,40.281276548741864,71.42857142857143,75.82417582417584,21.71428571428572,54.375000000000014,Game Development
3,6,73,5,10,2,6,1,1,5,39.69479370331171,DevOps Engineering,32.394047073590826,36.77685950413222,43.204272769378434,12.994350282485879,18.965517241379313,42.619477638796376,24.000000000000004,27.472527472527474,47.42857142857143,32.5,DevOps Engineering
9,4,69,0,3,8,4,10,10,9,56.47914498204965,UI/UX Design,55.375322396956506,41.32231404958677,46.21329873084885,84.18079096045197,73.56321839080461,45.08884437005744,69.14285714285714,69.23076923076924,27.142857142857125,41.875,UI/UX Design
7,8,86,6,11,9,7,1,5,3,66.99423109350879,Mobile Development,70.60337216141673,74.79338842975206,71.06555414686086,36.15819209039549,56.32183908045977,71.4664156158552,61.71428571428572,53.846153846153854,71.14285714285714,63.12500000000002,Backend Development
4,7,69,8,8,9,3,3,1,10,40.99204259692401,Mobile Development,40.429216259797215,51.652892561983464,34.586190312530825,27.683615819209045,49.42528735632185,34.72163838439425,52.000000000000014,51.64835164835166,35.714285714285715,29.375,Mobile Development
3,5,61,4,2,2,10,5,7,10,43.9224122755377,Software Testing,44.01638455796096,37.1900826446281,40.20277501606145,40.11299435028249,24.71264367816092,36.55470448157793,22.857142857142858,31.868131868131872,32.57142857142857,60.00000000000001,Software Testing
5,7,82,4,11,2,8,6,10,9,44.705318467587475,Software Testing,41.506015691300604,48.760330578512395,52.01592356452043,70.62146892655367,54.022988505747136,53.57655243088616,56.57142857142857,53.84615384615387,59.428571428571416,61.875,UI/UX Design
5,9,77,3,8,7,1,4,8,1,44.64978457013981,Mobile Development,36.00042782499446,39.66942148760331,45.0627575912829,54.23728813559323,56.89655172413792,45.619472374720345,58.857142857142854,47.25274725274726,43.71428571428573,38.75000000000001,Mobile Development
3,7,57,2,11,4,3,7,8,6,16.199587510367827,DevOps Engineering,11.459149185846334,17.768595041322317,13.962004723501774,71.1864406779661,62.068965517241395,11.786505769664462,64.0,59.34065934065935,13.428571428571425,35.0,UI/UX Design
9,9,50,8,5,1,5,7,7,9,65.52597536756919,DevOps Engineering,51.77036280870967,15.289256198347104,41.211305262622126,54.23728813559322,34.48275862068966,34.88528839629348,33.142857142857146,38.46153846153847,13.428571428571425,48.12499999999999,UI/UX Design
4,8,86,4,2,8,5,2,2,5,53.156142455503996,DevOps Engineering,52.262096010407475,63.223140495867746,58.58876883993962,14.689265536723164,29.885057471264364,60.60872764005993,29.714285714285708,32.967032967032964,62.57142857142857,36.25,Backend Development
5,9,71,7,7,2,10,2,5,10,59.84351052764432,DevOps Engineering,57.48039600735281,49.173553719008254,56.50535253310963,26.553672316384187,22.413793103448278,54.37666312832526,25.142857142857146,29.670329670329675,51.14285714285713,61.250000000000014,Software Testing
4,7,55,8,2,3,2,2,4,2,56.27537152560061,DevOps Engineering,39.34976747874373,17.35537190082644,39.16690033056643,15.819209039548024,13.218390804597702,33.8762948274355,13.142857142857142,13.186813186813193,20.57142857142856,36.875,Data Science
5,7,70,4,6,5,10,2,5,5,57.00120805183258,Cybersecurity,60.72473858633505,54.54545454545454,57.233464183542495,28.24858757062147,32.18390804597702,54.035278416041834,34.285714285714285,37.36263736263737,49.71428571428571,63.75000000000001,Software Testing
7,9,81,9,10,3,8,9,10,1,73.64257653230915,UI/UX Design,66.94757334011665,57.43801652892561,74.61797266182965,85.31073446327686,66.0919540229885,72.84874728086983,66.28571428571428,68.13186813186813,72.00000000000001,85.625,Software Testing
9,6,84,8,3,7,5,5,9,9,74.70628402392492,DevOps Engineering,69.85846612316334,63.22314049586778,68.36873209051882,54.23728813559322,50.57471264367817,69.57134525874635,49.14285714285713,45.05494505494505,61.999999999999986,61.875,Data Science
7,8,64,1,9,7,7,8,4,10,39.047845480336534,Game Development,45.15469208632805,43.80165289256198,35.250217283230526,62.71186440677966,66.0919540229885,33.31287923938705,66.28571428571426,73.62637362637365,26.571428571428562,36.25000000000001,Game Development
5,4,54,8,3,2,7,5,8,10,43.58392763932254,Software Testing,38.5501113353581,27.685950413223146,31.813790968127392,45.19774011299436,28.73563218390805,27.28180267396112,27.42857142857143,30.769230769230777,22.285714285714278,60.0,Software Testing
7,5,95,10,11,7,5,5,8,9,54.454610550271575,Mobile Development,53.01521183539484,74.79338842975206,62.55006952847268,64.40677966101697,67.24137931034483,67.40899743531503,70.28571428571428,62.637362637362635,80.57142857142856,63.75000000000001,DevOps Engineering
5,7,99,3,3,6,8,1,2,6,61.65128014912816,Cloud Computing,62.01232603888591,74.79338842975206,75.25237745228186,9.039548022598872,20.689655172413786,79.33791363062143,21.714285714285708,27.472527472527474,84.85714285714286,43.125,DevOps Engineering
3,5,97,5,5,10,9,6,6,9,53.040070289027454,Data Science,63.616244072365944,91.73553719008265,67.94972974152671,55.93220338983051,65.51724137931035,72.35738921557778,64.57142857142858,68.13186813186815,84.28571428571426,66.25000000000001,Backend Development
7,4,55,5,7,9,4,4,5,3,52.204198693385706,Mobile Development,52.819809970576536,39.256198347107436,38.493206725399816,44.632768361581924,57.4712643678161,33.11481192702346,58.85714285714286,54.94505494505496,19.42857142857143,47.5,Mobile Development
2,5,74,5,8,9,4,3,2,4,32.089416440778315,Mobile Development,34.522731034509135,54.958677685950406,37.16315499420021,31.07344632768363,51.14942528735632,37.51551379871948,53.714285714285715,52.74725274725276,45.714285714285694,36.875,Backend Development
9,4,95,1,11,2,8,6,10,6,54.25681329374441,Cloud Computing,51.04011511470395,55.78512396694214,68.0860460966946,70.62146892655367,54.022988505747136,71.61775982348381,56.57142857142857,53.84615384615387,76.28571428571429,58.125000000000014,DevOps Engineering
1,9,89,6,7,7,1,2,4,4,38.91972041235721,Mobile Development,29.44827457682567,53.30578512396694,47.11932101406115,28.813559322033903,40.804597701149426,51.39465153449982,43.428571428571416,36.26373626373628,62.57142857142857,30.00000000000001,DevOps Engineering
6,6,78,5,9,5,4,8,7,1,53.936608716125534,UI/UX Design,46.368428158228646,45.041322314049594,55.306043217689016,70.62146892655367,63.2183908045977,54.862598683645835,63.42857142857142,63.736263736263744,53.99999999999999,51.250000000000014,UI/UX Design
7,7,56,10,5,6,6,1,1,7,64.54558689505956,Backend Development,61.14952933888581,42.14876033057852,46.8840169151318,9.039548022598872,23.56321839080459,41.3807417262591,25.71428571428571,29.670329670329675,28.57142857142857,47.5,Data Science
8,4,89,0,10,1,4,9,9,5,47.88350429291906,UI/UX Design,35.40248251599632,34.71074380165288,55.901575026993136,79.66101694915254,56.32183908045977,59.15475751753261,56.57142857142856,57.14285714285716,59.14285714285713,35.0,UI/UX Design
9,5,62,1,11,7,6,8,10,8,50.33416027688169,UI/UX Design,52.9212218449409,39.256198347107436,41.09066684080611,86.4406779661017,81.03448275862071,37.94476096650241,82.28571428571428,76.92307692307695,23.428571428571438,53.125000000000014,UI/UX Design
2,7,87,6,3,6,5,1,1,9,40.5065746202991,DevOps Engineering,37.70942914241881,59.91735537190084,48.746273346100075,5.649717514124294,18.965517241379306,52.45335712985537,19.999999999999996,24.17582417582418,63.42857142857141,30.625000000000007,DevOps Engineering
2,6,67,0,6,4,9,10,5,5,34.07723802436503,Cybersecurity,37.374408378931186,40.9090909090909,39.67121888324845,67.79661016949153,55.74712643678163,37.22031010049857,53.142857142857146,68.13186813186815,37.7142857142857,48.125000000000014,Game Development
5,9,51,0,5,1,10,9,7,8,46.855821521925975,UI/UX Design,45.52506620306936,20.661157024793386,37.01623995089685,64.40677966101696,41.37931034482759,30.464450444914103,38.85714285714286,52.74725274725276,14.285714285714285,51.25000000000001,UI/UX Design
5,7,57,0,4,9,9,2,8,1,64.3290446166409,Data Science,71.64495643321733,49.173553719008254,54.92392743184964,39.548022598870055,48.85057471264368,47.74008335253077,49.71428571428572,45.05494505494506,26.85714285714285,68.75000000000003,Data Science
6,4,60,7,2,4,4,3,2,1,66.30493997380984,DevOps Engineering,54.19895716053422,29.338842975206614,51.76411319107537,15.254237288135592,17.241379310344822,46.429360215452355,16.571428571428566,23.076923076923084,31.14285714285714,39.375,Data Science
3,6,82,3,7,2,4,2,4,7,33.950167111369566,DevOps Engineering,23.749671944150112,35.9504132231405,41.47809252287395,23.163841807909613,20.689655172413794,44.20758911318129,23.42857142857143,23.076923076923073,51.7142857142857,25.625000000000004,DevOps Engineering
8,5,87,3,5,8,8,8,2,6,66.88186327002099,Data Science,71.29601101933739,71.48760330578513,70.99488255976163,50.282485875706215,57.47126436781609,71.9780191758046,55.42857142857143,69.23076923076923,67.71428571428572,45.625,Cloud Computing
1,6,97,1,4,2,10,2,4,5,41.50147339992094,Cybersecurity,41.08684360176441,63.22314049586778,64.46633547164839,18.079096045197744,13.793103448275865,68.44465325643857,14.857142857142861,23.076923076923084,84.0,49.37500000000001,DevOps Engineering
6,6,76,10,8,5,4,10,6,5,55.69373371626318,DevOps Engineering,47.739551339117995,49.58677685950413,52.63756837500828,75.70621468926554,66.0919540229885,52.41713758862431,64.57142857142858,70.32967032967034,54.85714285714285,55.625000000000014,UI/UX Design
4,8,69,10,9,6,2,2,6,9,38.042566833127964,DevOps Engineering,30.584563580873446,41.32231404958677,32.10224329127546,37.853107344632775,44.82758620689655,32.44528347730718,48.57142857142857,38.46153846153847,37.42857142857141,43.12500000000001,Mobile Development
1,6,61,10,9,8,2,1,2,1,33.33560260805626,Mobile Development,28.992474641257925,41.32231404958677,29.141888432739787,21.46892655367232,42.5287356321839,26.27412254066644,46.857142857142854,40.659340659340664,32.85714285714283,43.12500000000001,Mobile Development
7,6,92,0,3,1,1,7,4,8,49.97105966003759,DevOps Engineering,30.26865765336285,28.512396694214882,53.44091802518087,40.67796610169491,24.712643678160926,58.62885282999284,22.285714285714285,29.670329670329675,54.85714285714286,2.5,Cloud Computing
9,7,80,9,3,1,5,2,4,2,81.89077250769645,DevOps Engineering,64.54017298591526,41.32231404958677,74.77407075955752,15.254237288135592,7.471264367816091,73.27998415429191,8.000000000000002,12.087912087912093,63.7142857142857,49.99999999999999,Cybersecurity
4,5,76,8,5,4,6,10,1,7,56.04997308476921,DevOps Engineering,49.31806929166489,49.58677685950413,54.11947992752781,52.54237288135594,46.551724137931046,53.775200625227214,43.42857142857144,62.63736263736265,54.285714285714285,40.0,Game Development
4,7,81,6,5,5,9,5,2,6,60.840157661093265,DevOps Engineering,61.11928205734858,63.22314049586777,64.67934444093915,31.63841807909604,35.05747126436782,64.31709375279151,34.857142857142854,47.25274725274726,65.42857142857143,53.75000000000001,DevOps Engineering
6,7,59,3,10,9,5,5,3,10,35.35920966011544,Mobile Development,41.23593939678673,42.975206611570236,27.26994318246254,48.02259887005651,64.36781609195404,24.846806720527628,66.85714285714286,67.03296703296702,18.285714285714285,31.875000000000004,Game Development
3,4,52,5,2,7,6,3,5,2,45.89067160922142,Backend Development,46.33258242606146,35.9504132231405,35.78029660957323,28.8135593220339,34.48275862068966,29.331799198398517,33.71428571428571,35.16483516483518,19.99999999999998,55.00000000000001,Software Testing
6,7,94,1,1,7,6,3,8,3,63.71157460697962,Backend Development,61.799267815123905,65.70247933884298,72.77457522451549,37.28813559322034,37.356321839080465,75.48217556598247,35.99999999999999,32.96703296703298,73.42857142857143,53.125000000000014,Cloud Computing
7,8,76,6,8,8,3,3,6,4,60.91738568731212,Mobile Development,55.717291232268494,51.652892561983464,55.29395326246046,43.50282485875706,54.02298850574713,54.85151912813379,56.57142857142856,48.35164835164836,47.99999999999999,46.25000000000001,Mobile Development
3,8,84,1,3,5,4,6,3,7,43.78325418784898,DevOps Engineering,36.8848990308296,45.04132231404957,48.92028565273521,36.72316384180791,35.63218390804598,51.6041810880974,33.71428571428572,41.758241758241766,51.7142857142857,21.25,DevOps Engineering
7,4,80,9,1,5,1,4,6,8,56.493667391932824,DevOps Engineering,42.641396273351226,42.975206611570236,49.99601722763071,33.333333333333336,29.31034482758621,52.013641148088084,27.42857142857143,25.274725274725284,50.57142857142858,36.25000000000001,Cloud Computing
3,9,64,7,1,1,4,3,7,2,50.113371398508875,DevOps Engineering,34.54142361348844,22.727272727272723,43.46752918145212,27.118644067796616,11.49425287356322,40.12298063314631,10.28571428571429,10.98901098901099,35.99999999999998,49.99999999999999,Software Testing
2,5,65,7,11,9,1,2,6,8,22.269753768590476,Mobile Development,20.617657369544336,41.32231404958677,19.0375809865349,44.632768361581924,61.49425287356323,19.319742806104035,66.28571428571429,51.64835164835166,26.285714285714295,36.25000000000001,Mobile Development
4,5,62,0,2,6,5,3,10,9,33.14942562894588,DevOps Engineering,33.00891364951523,31.818181818181827,28.395865175437653,44.632768361581924,39.08045977011495,26.599092581524996,38.285714285714285,30.76923076923077,19.142857142857142,43.75000000000001,UI/UX Design
8,7,98,7,6,9,8,4,6,7,71.31997706630897,Data Science,76.57991974914489,88.84297520661157,80.07545727440815,46.32768361581922,56.896551724137936,83.6138196347602,57.714285714285715,57.14285714285715,88.28571428571428,68.12500000000001,Backend Development
9,7,84,1,6,3,8,6,1,1,73.66107883286564,Cybersecurity,68.00244033832871,50.0,76.5164017816765,32.76836158192091,31.034482758620683,75.45307137340959,30.85714285714286,46.15384615384615,64.85714285714288,37.50000000000001,Cybersecurity
7,9,60,5,3,5,5,4,3,6,57.96669270327437,DevOps Engineering,52.11426421308205,33.05785123966942,44.63314006495243,26.553672316384187,28.73563218390805,40.47071625548956,28.000000000000004,34.06593406593407,26.000000000000007,36.875,Data Science
1,7,70,0,4,2,10,8,7,8,28.144903763495833,UI/UX Design,30.664419332443458,39.66942148760331,37.19805268144392,58.75706214689266,39.655172413793096,36.10657277434919,37.142857142857146,49.45054945054947,41.42857142857143,52.500000000000014,UI/UX Design
3,5,60,4,2,10,2,3,4,5,34.14250198755292,DevOps Engineering,34.304047539303326,39.66942148760331,26.504718231165363,28.8135593220339,44.827586206896555,24.145534286774016,43.99999999999999,40.65934065934067,19.42857142857142,31.875000000000004,Web Development
9,6,79,10,2,5,6,3,4,2,88.50402776819519,DevOps Engineering,79.06450435532895,57.85123966942148,79.5622816152171,23.163841807909606,24.71264367816092,77.23575087504047,24.000000000000004,28.57142857142858,65.71428571428571,61.875,Cybersecurity
1,8,97,6,7,8,1,3,7,5,32.82763713242329,Mobile Development,26.515239543719364,63.22314049586778,47.69033781913416,45.19774011299435,53.448275862068975,54.367514197362134,55.42857142857143,43.956043956043956,73.14285714285714,39.37500000000001,DevOps Engineering
9,6,84,9,1,2,7,8,9,8,78.69269900318751,UI/UX Design,68.02711425083271,53.71900826446281,74.02056541080975,60.45197740112995,36.206896551724135,74.3185585032781,32.0,39.56043956043957,68.28571428571428,68.125,Cloud Computing
8,6,71,0,7,8,4,4,2,2,55.356407968793896,Mobile Development,53.97901145418458,42.975206611570236,51.16755218163138,33.333333333333336,48.27586206896552,49.19677692725874,49.71428571428571,51.648351648351664,35.99999999999998,25.625000000000004,Data Science
1,5,87,1,1,4,5,1,9,1,42.75400146263035,DevOps Engineering,35.301428616822534,47.10743801652893,55.191195888446764,27.118644067796605,20.114942528735632,57.206917269527594,20.0,13.186813186813188,63.142857142857146,50.62500000000002,DevOps Engineering
6,6,80,6,6,10,6,2,3,4,60.290670181727435,Backend Development,64.59211460107866,70.24793388429751,61.1891007432248,27.118644067796605,48.85057471264368,60.97444967246538,50.857142857142854,49.45054945054945,59.71428571428571,52.500000000000014,Backend Development
5,9,63,5,3,10,1,10,6,4,55.38831025849109,Game Development,49.84218852169743,40.49586776859504,41.12472343301328,72.88135593220339,74.71264367816093,38.408247987602934,70.28571428571428,72.52747252747253,23.999999999999996,37.50000000000001,Web Development
6,4,73,2,8,1,9,2,4,9,46.608958379620056,DevOps Engineering,43.7717896072323,38.429752066115704,48.810665647559794,23.72881355932203,18.965517241379313,47.90141693349858,22.285714285714285,27.472527472527474,45.714285714285694,41.250000000000014,Cybersecurity
5,7,99,9,6,5,10,3,1,3,70.41811259624758,Cybersecurity,71.19424350783231,84.71074380165288,85.16862427436955,19.774011299435028,28.73563218390805,87.70496403241935,30.28571428571429,41.758241758241766,100.0,66.25000000000001,DevOps Engineering
6,4,98,1,11,1,4,6,9,4,47.53219986489696,DevOps Engineering,34.08792271756705,43.38842975206611,61.96993702194777,66.10169491525426,48.27586206896552,67.16553306334117,50.85714285714285,46.15384615384617,74.28571428571426,38.75000000000001,DevOps Engineering
5,8,81,9,2,7,8,8,6,3,78.19480549484226,Cybersecurity,76.74235293804593,70.66115702479337,76.22314810996367,57.62711864406781,53.448275862068975,74.60795705754596,49.71428571428571,59.34065934065935,70.28571428571428,75.62500000000001,Data Science
5,7,85,3,8,8,5,1,8,2,52.077066359092925,Mobile Development,51.940283886002206,61.15702479338842,59.16796626358046,40.11299435028249,50.57471264367817,60.41905842022648,54.285714285714285,41.758241758241766,62.28571428571428,56.25,DevOps Engineering
4,6,81,2,5,3,8,9,2,4,44.79670435324695,Cybersecurity,42.87786266150888,48.76033057851238,54.58912223474651,49.717514124293785,40.804597701149426,54.926054382274906,38.285714285714285,57.14285714285715,59.428571428571416,39.375,DevOps Engineering
3,8,64,6,8,3,1,1,7,8,29.31200945999302,DevOps Engineering,15.708591488090113,19.421487603305795,22.837741798737753,31.07344632768362,28.73563218390805,22.51412648990953,32.57142857142857,20.879120879120883,23.428571428571438,29.375,Mobile Development
3,7,92,7,8,7,8,10,6,1,60.84120645400573,Cybersecurity,62.16052970069592,77.27272727272727,73.48503550566399,77.96610169491525,74.13793103448275,74.98052245187651,72.57142857142857,81.31868131868133,84.85714285714286,73.12500000000001,DevOps Engineering
4,9,84,1,6,4,4,2,2,8,34.32247716693736,DevOps Engineering,28.20191063621671,41.735537190082646,42.34118060813671,16.94915254237288,22.98850574712644,45.719007012644,25.14285714285714,27.472527472527474,50.85714285714285,15.625000000000004,DevOps Engineering
9,9,52,9,2,3,2,3,2,8,61.511200446028255,DevOps Engineering,46.03647275356096,16.115702479338836,36.79949713586683,14.124293785310732,13.218390804597696,31.706743772926956,12.571428571428566,17.582417582417587,12.571428571428566,25.625000000000004,Data Science
2,9,65,6,8,8,6,7,4,3,43.2881272704001,Game Development,45.602296549605605,51.23966942148759,41.690646082012655,57.06214689265536,64.36781609195403,38.638690069394876,64.57142857142857,69.23076923076924,39.14285714285715,54.37500000000001,Game Development
9,9,54,7,11,3,2,9,4,10,48.83029936037472,DevOps Engineering,36.14128747548322,15.289256198347118,28.824087648034418,66.66666666666667,58.04597701149425,25.26242038061943,58.857142857142854,63.736263736263744,10.857142857142849,24.375000000000004,UI/UX Design
1,6,70,5,6,7,5,3,3,10,22.182055180916514,DevOps Engineering,24.71094122680474,47.93388429752066,25.900663635796544,28.8135593220339,40.229885057471265,26.7619914587415,41.71428571428571,42.85714285714286,36.857142857142854,34.37500000000001,Backend Development
1,4,59,5,6,2,2,8,8,6,19.929415979146235,UI/UX Design,7.606826048394932,13.636363636363638,16.30780879191587,65.53672316384181,45.97701149425288,14.656723907288896,44.57142857142857,45.05494505494506,18.571428571428562,35.62500000000001,UI/UX Design
5,7,68,9,8,1,3,9,7,4,48.27500518072385,UI/UX Design,32.06647688117627,25.61983471074381,42.31132401303388,69.49152542372882,48.275862068965516,40.64841797159876,47.428571428571416,51.64835164835166,40.85714285714285,48.12499999999999,UI/UX Design
6,6,74,0,1,6,6,10,2,1,59.52633705906455,Backend Development,56.712683968869484,44.628099173553714,58.821595634631805,51.41242937853108,47.12643678160919,56.643421936060264,41.71428571428571,60.439560439560445,45.14285714285716,33.125,Game Development
6,9,53,3,2,8,1,7,3,1,57.420511427129384,Game Development,48.30667192908414,23.1404958677686,38.00032165228263,43.50282485875706,48.85057471264369,32.23084232111204,45.714285714285715,50.54945054945056,9.428571428571422,24.375000000000004,Game Development
3,4,78,0,9,1,6,4,10,5,28.37850636137888,Software Testing,21.74294865046339,31.40495867768595,39.23176500715653,55.932203389830505,38.50574712643678,40.41988839272558,41.14285714285714,35.16483516483518,47.42857142857143,46.87499999999999,UI/UX Design
7,8,68,3,11,10,3,4,9,8,34.70640649438953,Mobile Development,38.905791584400504,47.93388429752066,31.261890876974547,66.10169491525426,77.58620689655173,31.09879336852423,81.14285714285714,65.93406593406593,28.857142857142858,45.625,Mobile Development
9,8,92,1,8,9,7,4,5,1,73.83532796271707,Mobile Development,76.98205935805257,73.55371900826448,80.3995773350422,46.32768361581922,59.77011494252873,81.4612841283672,61.71428571428572,60.439560439560445,74.28571428571429,53.125000000000014,Cloud Computing
8,8,51,10,7,3,2,6,2,2,62.885790207395885,DevOps Engineering,46.58888067294938,16.52892561983471,40.808673086412526,37.853107344632775,35.05747126436782,34.22812115700051,35.42857142857142,41.758241758241766,17.7142857142857,35.625,Data Science
6,9,59,4,7,3,6,4,3,7,51.40005386592975,DevOps Engineering,44.90931339183069,27.272727272727277,40.50317853203129,31.07344632768362,29.885057471264375,36.39772557114105,31.428571428571427,37.36263736263737,24.285714285714285,34.99999999999999,Data Science
8,8,92,9,5,4,8,5,8,8,80.22116432185096,Cloud Computing,74.42195550268082,69.83471074380165,81.27117252946604,50.84745762711865,41.37931034482759,83.12459038723398,41.14285714285714,42.85714285714286,81.71428571428572,71.87500000000001,Cloud Computing
5,5,74,8,2,1,1,9,4,3,49.148418429483385,DevOps Engineering,28.586303408945184,23.553719008264455,44.74743297451786,49.15254237288135,29.31034482758621,44.754131659644614,25.142857142857146,36.26373626373626,44.85714285714287,28.750000000000007,UI/UX Design
8,7,69,10,11,9,9,7,2,8,70.63157821958008,Data Science,78.1236055231858,71.48760330578511,62.03243913181138,56.49717514124295,71.83908045977012,58.72137073174641,73.71428571428572,82.41758241758242,52.28571428571428,66.25000000000001,Game Development
4,7,97,9,6,3,5,8,2,1,62.534596157730086,DevOps Engineering,50.47655324133288,61.98347107438016,73.92112965894975,46.32768361581921,39.655172413793096,77.25336954336028,38.285714285714285,51.64835164835166,88.85714285714286,47.5,DevOps Engineering
8,9,68,2,10,10,5,5,6,9,55.39051632363727,Mobile Development,59.72798781142624,52.47933884297521,46.15755743624987,59.32203389830508,73.56321839080461,44.60548491275922,76.0,70.32967032967034,30.571428571428562,41.25,Mobile Development
2,5,72,7,3,4,5,5,8,2,48.24931724400862,DevOps Engineering,40.109758686729805,42.14876033057852,48.584476254093474,47.45762711864408,36.78160919540229,46.973669881272976,35.42857142857142,35.16483516483518,49.42857142857142,61.250000000000014,Software Testing
5,6,73,2,4,1,6,7,7,2,49.372683026207866,Software Testing,39.16559446542859,29.752066115702476,51.177788066797405,52.542372881355924,32.18390804597701,49.494341801848925,30.28571428571429,37.36263736263737,45.714285714285715,46.25,UI/UX Design
9,6,60,5,10,4,2,8,4,4,50.76160124497358,DevOps Engineering,39.46907588261752,21.07438016528926,37.585912732687795,61.016949152542374,56.32183908045977,34.15654250430754,57.14285714285714,60.439560439560445,21.71428571428572,28.125000000000007,UI/UX Design
4,8,95,3,11,1,6,9,2,10,39.15935344192566,DevOps Engineering,30.67569473348208,49.173553719008254,53.55934178737461,57.627118644067785,46.55172413793104,59.169656162493176,47.428571428571416,61.53846153846154,71.71428571428572,23.125,DevOps Engineering
6,4,83,7,2,5,4,2,9,3,63.30904338281638,DevOps Engineering,53.68194451697603,51.652892561983464,63.08744866843797,35.02824858757062,29.885057471264375,63.722791575110286,29.714285714285708,21.978021978021978,62.28571428571428,60.00000000000001,Cloud Computing
1,6,77,10,2,5,8,3,4,4,54.46643504541634,Cybersecurity,52.50422412471559,61.98347107438016,58.15499059460147,23.163841807909606,24.71264367816092,57.04117293683938,24.000000000000004,30.769230769230777,65.14285714285714,68.125,Software Testing
9,4,54,5,8,7,9,2,9,6,69.57735718039015,Mobile Development,74.1796859798243,46.2809917355372,53.193306402761095,47.45762711864407,51.724137931034484,46.010004138553406,54.85714285714285,47.25274725274726,25.428571428571423,75.62500000000001,Software Testing
1,7,54,7,8,8,9,10,5,7,30.993269210976038,Data Science,41.730709972688345,52.066115702479344,28.297653591808825,75.70621468926554,76.43678160919542,23.339060063963135,74.85714285714286,85.71428571428572,27.428571428571413,68.12500000000001,Game Development
5,4,70,0,10,4,8,7,7,5,38.78202316873606,Cybersecurity,40.525440804924955,40.49586776859504,43.25913406838746,66.10169491525426,58.04597701149425,41.51701623558275,59.42857142857143,62.637362637362635,40.0,50.000000000000014,UI/UX Design
4,7,61,5,6,7,3,2,5,2,52.139486851417125,DevOps Engineering,45.48630917018258,34.71074380165288,41.597161541771776,30.508474576271187,40.229885057471265,37.688465044044456,42.28571428571428,36.26373626373628,26.85714285714285,41.875,Data Science
3,5,99,0,5,4,10,2,2,3,53.12707323990979,Cybersecurity,54.84048578191382,70.24793388429751,74.29375675466025,15.254237288135592,20.689655172413794,77.73894711233993,22.285714285714285,31.868131868131872,87.14285714285714,45.62500000000001,DevOps Engineering
6,5,53,0,8,3,4,2,6,10,20.001377761053448,DevOps Engineering,16.246520694993556,11.5702479338843,12.579482868587078,32.7683615819209,30.459770114942536,9.799064991961632,33.71428571428571,28.57142857142857,3.4285714285714266,21.875000000000004,Mobile Development
2,9,98,7,4,6,1,4,7,3,52.59136526168172,DevOps Engineering,38.81602238704038,58.67768595041323,62.00714796332184,42.93785310734463,41.95402298850575,67.48781859462923,41.71428571428571,35.16483516483517,77.71428571428572,41.87500000000001,DevOps Engineering
3,9,91,6,11,4,9,1,6,5,47.50338336940413,Cybersecurity,48.371338723472334,68.18181818181817,63.209675075096946,33.898305084745765,37.931034482758626,65.70800194201968,43.42857142857144,39.56043956043957,80.57142857142856,66.25000000000001,DevOps Engineering
5,8,69,2,4,3,5,2,3,5,55.42316302472858,DevOps Engineering,45.44756059896664,30.165289256198346,49.32274404070981,15.819209039548024,16.0919540229885,47.217961397538076,17.142857142857142,20.879120879120883,35.42857142857142,28.125000000000007,Cybersecurity
9,6,87,5,5,9,6,3,10,4,72.33608703891235,Backend Development,73.73131028425833,71.48760330578511,73.16735033893859,53.10734463276836,58.04597701149425,73.96892624721171,58.85714285714286,48.35164835164836,68.28571428571428,70.625,Cloud Computing
2,8,74,8,1,5,3,7,8,8,56.11975540666047,DevOps Engineering,43.910268420173296,42.56198347107438,48.50299082179904,55.36723163841809,43.10344827586207,48.62810109893975,39.42857142857143,40.65934065934067,44.57142857142857,48.75000000000001,UI/UX Design
8,7,63,6,1,7,10,10,3,6,83.25470198115951,Game Development,86.41306201707036,57.851239669421496,68.71364904475442,55.932203389830526,52.87356321839081,62.68282534937148,47.428571428571416,68.13186813186813,41.71428571428572,63.75000000000001,Data Science
